tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,acea,000774ESFML01XXRT4D4028300000000,,Acea Energia Fix  Luce e Gas,0.2648,EUR/kWh,144,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESFFP01XXRT4E4027860000000,,Acea Energia Placet Fissa Luce Domestico,0.2648,EUR/kWh,144,fisso,B,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT4D4027880000000,,Acea Energia Sprint Web  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVFP01XXRT4E4027850000000,,Acea Energia Placet Variabile Luce Domestico,0.2648,EUR/kWh,144,PUN,B,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT4D4027900000000,,Acea Energia Flex Casa  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT4D4027890000000,,Acea Energia Sprint  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT4D4027990000000,,Acea Energia Trend 12  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT4D4028000000000,,Acea Energia Trend 24  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESFFP01XXRT3E4027870000000,,Acea Energia Placet Fissa Luce Altri Usi,0.2648,EUR/kWh,144,fisso,B,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVML01XXRT3D4027910000000,,Acea Energia Sprint  Luce e Gas,0.2648,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,acea,000774ESVFP01XXRT3E4027970000000,,Acea Energia Placet Variabile Luce Altri Usi,0.2648,EUR/kWh,144,PUN,B,,,,,,,,file:///root/workspaces/meno-meno/fixtures/acea/luce.json,2026-09-13T10:00:00.000Z
