tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,mobile,postemobile,creami-extra-wow-50-ed-2026,,Creami EXTRA WOW 50 Ed. 2026,5.99,EUR/mese,undefined,,,50,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,creami-extra-wow-160,,Creami Extra WOW 160,7.99,EUR/mese,undefined,,,160,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,postemobile-back-200,,PosteMobile Back 200,10,EUR/mese,undefined,,,200,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,creami-extrawow-150-online,,Creami EXTRAWOW 150 Online,6.99,EUR/mese,undefined,,,150,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,creami-extrawow-50x2,,Creami EXTRAWOW 50x2,8,EUR/mese,undefined,,,100,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,creami-extrawow-200,,Creami EXTRAWOW 200,10,EUR/mese,undefined,,,200,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,creami-extrawow-300,,Creami EXTRAWOW 300,11.99,EUR/mese,undefined,,,300,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,300-digital,,300% Digital,9.99,EUR/mese,undefined,,,300,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,postemobile-super-20-ed-2025,,PosteMobile Super 20 Ed. 2025,4,EUR/mese,undefined,,,20,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,postemobile,postemobile-super-1,,PosteMobile Super 1,2,EUR/mese,undefined,,,1,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/postemobile/mobile.html,2026-09-13T10:00:00.000Z
