tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,mobile,very,very-mobile-20-giga-4-99,,Very Mobile 20 Giga,4.99,EUR/mese,undefined,,,20,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-mobile-150-giga-5-99,,Very Mobile 150 Giga,5.99,EUR/mese,undefined,,,150,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-200-giga-6-99,,Very 5G Full Speed 200 Giga,6.99,EUR/mese,undefined,,,200,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-300-giga-7-99,,Very 5G Full Speed 300 Giga,7.99,EUR/mese,undefined,,,300,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-350-giga-8-99,,Very 5G Full Speed 350 Giga,8.99,EUR/mese,undefined,,,350,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-440-giga-9-99,,Very 5G Full Speed 440 Giga,9.99,EUR/mese,undefined,,,440,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-2-giga-1-99,,Very 5G Full Speed 2 Giga,1.99,EUR/mese,undefined,,,2,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-10-giga-3-99,,Very 5G Full Speed 10 Giga,3.99,EUR/mese,undefined,,,10,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-mobile-1000-giga-12-99,,Very Mobile 1000 Giga,12.99,EUR/mese,undefined,,,1000,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-200-giga-11-99,,Very 5G Full Speed 200 Giga,11.99,EUR/mese,undefined,,,200,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-300-giga-12-99,,Very 5G Full Speed 300 Giga,12.99,EUR/mese,undefined,,,300,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,very,very-5g-full-speed-440-giga-13-99,,Very 5G Full Speed 440 Giga,13.99,EUR/mese,undefined,,,440,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/very/mobile.html,2026-09-13T10:00:00.000Z
